"Date","Open","High","Low","Close","Volume"
"04/02/2026","76.73","79.1","76.54","79.02","12,634,890"
"04/01/2026","78","79.12","77.81","77.93","21,309,020"
"03/31/2026","77.89","78.19","76.31","77.59","25,105,710"
"03/30/2026","79.86","80.39","76.59","77.04","24,306,310"
"03/27/2026","81.975","82.12","79.4","79.92","20,557,430"
"03/26/2026","82.07","83.11","81.81","82.16","26,649,620"
"03/25/2026","81","82.68","80.89","81.83","23,146,030"
"03/24/2026","78.37","80.935","78.13","80.86","23,528,000"
"03/23/2026","78.64","79.51","78.42","78.82","20,072,230"
"03/20/2026","78.445","79.04","76.71","77.65","90,380,830"
"03/19/2026","77.55","78.88","76.92","78.51","17,519,550"
"03/18/2026","79.74","80.0336","77.525","77.6","18,827,580"
"03/17/2026","79.18","80.05","78.82","79.27","16,210,460"
"03/16/2026","78.92","79.17","78.19","78.9","14,715,060"
"03/13/2026","78.07","79.26","77.935","78.33","19,080,390"
"03/12/2026","76.95","78.13","76.95","77.74","19,969,500"
"03/11/2026","77.635","78.495","77.12","78.1","14,727,410"
"03/10/2026","77.14","79.01","77.1","77.7","24,836,040"
"03/09/2026","77.18","77.56","75.2007","76.21","32,855,940"
"03/06/2026","78.515","79.515","78.35","78.64","20,621,220"
"03/05/2026","79.99","81.165","79.05","80.01","26,844,850"
"03/04/2026","79.2","80.96","78.53","80.87","20,388,110"
"03/03/2026","78.38","79.44","77.57","78.96","17,521,060"
"03/02/2026","78.745","79.515","77.69","79.42","18,540,350"
"02/27/2026","77.65","79.53","77.07","79.46","27,498,010"
"02/26/2026","78.94","79.3396","77.72","78.1","19,608,020"
"02/25/2026","78.45","79.42","78.26","79.12","22,721,820"
"02/24/2026","77.74","78.71","77.47","78.14","19,485,070"
"02/23/2026","78.85","79.48","76.94","77.74","24,485,910"
"02/20/2026","78.13","79.33","78.13","79.2","29,461,610"
"02/19/2026","77.99","79.155","77.87","78.56","18,443,220"
"02/18/2026","76.55","78.6","76.49","78.18","20,648,810"
"02/17/2026","76.95","77.565","76.475","76.85","24,792,720"
"02/13/2026","74.375","77.3","73.42","76.85","42,886,420"
"02/12/2026","79.61","80.37","74.085","75","68,098,560"
"02/11/2026","86.06","87.14","85.125","85.54","34,455,760"
"02/10/2026","86.97","88.185","86.13","86.29","32,113,840"
"02/09/2026","84.73","87.245","84.31","86.78","22,908,420"
"02/06/2026","83.555","85","82.805","84.82","23,936,580"
"02/05/2026","80.86","83.305","80.81","82.36","24,236,540"
"02/04/2026","83.98","84.24","81.14","81.16","39,765,730"
"02/03/2026","80.81","83.25","80.81","83.11","34,962,140"
"02/02/2026","78.12","81.155","77.995","80.64","28,238,590"
"01/30/2026","78.09","78.795","77.72","78.32","26,458,380"
"01/29/2026","79.105","79.476","77.625","78.43","22,642,940"
"01/28/2026","78.93","79.04","78.015","78.96","14,022,930"
"01/27/2026","77.19","78.91","77.05","78.68","17,756,730"
"01/26/2026","76.47","77.415","75.64","77.01","24,714,400"
"01/23/2026","73.95","75.07","73.71","74.59","13,125,530"
"01/22/2026","74.105","74.78","73.88","74.33","12,879,820"
"01/21/2026","73.945","74.36","73.005","73.69","18,210,170"
"01/20/2026","74.52","74.87","73.21","73.35","23,999,670"
"01/16/2026","75.64","75.99","74.6","75.19","25,743,340"
"01/15/2026","75.22","76.05","74.91","75.25","18,213,020"
"01/14/2026","74.93","75.1099","73.82","74.41","17,801,260"
"01/13/2026","73.99","75.5","73.86","75.47","17,809,920"
"01/12/2026","72.91","74.05","72.8","74.01","20,985,710"
"01/09/2026","73.45","74.3281","73.335","73.88","19,104,130"
"01/08/2026","74.31","74.46","73.55","73.96","17,192,240"
"01/07/2026","75.12","75.3799","74.195","74.72","20,347,450"
"01/06/2026","75.525","75.725","74.81","75.23","17,017,200"
"01/05/2026","76.45","76.7748","75.205","75.58","16,328,810"
"01/02/2026","76.645","76.95","75.605","76.04","15,749,840"
"12/31/2025","77.34","77.82","76.88","77.03","13,570,460"
"12/30/2025","77.81","77.81","77.17","77.41","13,952,180"
"12/29/2025","78.03","78.2955","77.52","77.79","17,941,800"
"12/26/2025","78.095","78.275","77.93","78.16","10,158,010"
"12/24/2025","78.02","78.285","77.845","78.02","9,104,399"
"12/23/2025","77.605","78.12","77.59","78.02","16,712,900"
"12/22/2025","79.015","79.145","77.955","78.11","18,016,050"
"12/19/2025","76.97","79.17","76.785","78.42","84,881,910"
"12/18/2025","76.33","77.8084","76.26","76.95","19,249,350"
"12/17/2025","77.9","78.2","75.92","76","26,094,400"
"12/16/2025","78.105","78.608","77.38","77.55","17,737,170"
"12/15/2025","78.21","78.71","77.535","78.25","17,646,020"
"12/12/2025","79.46","79.555","77.715","77.8","16,672,270"
"12/11/2025","80.24","80.37","78.825","79.27","18,652,340"
"12/10/2025","78.83","80.815","78.8","80.25","21,302,730"
"12/09/2025","78.79","79.88","78.51","79.51","15,737,450"
"12/08/2025","78.21","79.38","78.12","78.86","17,454,460"
"12/05/2025","77.97","78.19","77.395","77.97","12,579,350"
"12/04/2025","77.69","77.86","77.1651","77.76","12,572,640"
"12/03/2025","76.585","77.8165","75.65","77.75","16,088,440"
"12/02/2025","76.155","77","75.76","76.87","14,619,070"
"12/01/2025","76.665","76.818","75.93","76.04","15,529,580"
"11/28/2025","76.14","76.96","75.81","76.94","7,320,910"
"11/26/2025","76.455","76.6","75.34","76.07","15,972,620"
"11/25/2025","76.49","77.06","76.075","76.32","18,818,800"
"11/24/2025","76.49","76.88","75.68","76.24","26,691,470"
"11/21/2025","75.64","76.94","75.47","76.1","24,428,760"
"11/20/2025","79.12","80.055","75.32","75.44","27,381,870"
"11/19/2025","77.3","78.93","77.16","78.39","24,759,660"
"11/18/2025","77.55","78.2","76.45","77.37","26,025,480"
"11/17/2025","77.885","79.39","77.465","77.78","28,720,150"
"11/14/2025","76.58","78.665","75.8401","78","38,819,560"
"11/13/2025","77.95","79.5","76.65","77.38","57,638,530"
"11/12/2025","71.905","74.21","71.72","73.96","57,591,650"
"11/11/2025","71.74","72.25","71.095","71.71","21,412,890"
"11/10/2025","71.76","72.5","71.1539","72.09","22,201,250"
"11/07/2025","71.385","71.585","70.54","71.07","16,913,730"
"11/06/2025","71.71","72.23","70.6903","71.04","16,469,950"
"11/05/2025","72.22","72.58","71.34","72.1","16,113,480"
"11/04/2025","73.9","73.99","71.98","72.32","22,345,030"
"11/03/2025","74.61","74.838","73.6243","74.45","21,733,390"
"10/31/2025","72.72","73.48","72.43","73.11","24,008,000"
"10/30/2025","71.37","73.11","71.34","72.91","18,101,770"
"10/29/2025","72.68","72.82","70.915","71.33","18,020,590"
"10/28/2025","71.2","72.68","71.03","72.62","19,896,780"
"10/27/2025","70.54","71.46","70.43","71.39","15,986,780"
"10/24/2025","70.635","70.94","70.06","70.63","13,075,550"
"10/23/2025","70.6","71.235","70.23","70.27","14,614,130"
"10/22/2025","70.86","70.97","69.85","70.66","14,967,250"
"10/21/2025","70.58","71.2375","70.38","70.72","15,763,350"
"10/20/2025","70.12","70.97","70.12","70.65","12,183,520"
"10/17/2025","69.06","70.77","68.95","70.13","16,286,930"
"10/16/2025","69.78","70.07","68.57","69.09","13,950,640"
"10/15/2025","69.305","70.2999","68.82","69.52","16,260,540"
"10/14/2025","67.11","69.16","66.8131","68.66","15,402,050"
"10/13/2025","68.55","68.89","67.13","67.46","14,127,950"
"10/10/2025","70.41","70.8093","67.89","67.94","20,961,510"
"10/09/2025","70.31","70.62","69.03","69.96","21,209,480"
"10/08/2025","69.81","70.755","69","70.33","34,246,260"
"10/07/2025","68.915","69.225","68.445","68.985","16,493,160"
"10/06/2025","68.435","68.95","67.81","68.91","21,952,720"
"10/03/2025","67.95","68.585","67.65","67.92","11,113,180"
"10/02/2025","69.175","69.49","68.255","68.31","15,708,260"
"10/01/2025","67.9","68.82","67.69","68.75","15,530,720"
"09/30/2025","67.705","68.77","67.69","68.42","20,498,940"
"09/29/2025","67.715","67.95","67.44","67.72","14,358,250"
"09/26/2025","67.87","67.91","66.85","67.22","15,077,410"
"09/25/2025","67.32","68.235","67.1101","67.85","22,351,680"
"09/24/2025","67.7","67.865","66.89","67.32","17,433,100"
"09/23/2025","67.58","68.22","67.07","67.54","22,240,010"
"09/22/2025","67.86","68","67.3","67.75","20,396,680"
"09/19/2025","68.92","68.92","67.1802","68.21","47,822,500"
"09/18/2025","67.9","68.76","67.48","68.68","20,279,010"